

2016-11-21 00:17                                                        Página 1


0      1      2	     3	    4	   5	  6	 7	8      9      10
133019 145119 144162 85283  84807  123489 84501	 85004	84592  139614 144907
49859  56177  53167  47742  47582  51816  47439	 47497	47599  54788  55800
42401  43279  42940  42619  42713  44377  42403	 42517	43414  45921  43350
20081  20150  20243  19949  19871  19852  20068	 19876	19836  19979  20011
14758  14662  15060  17608  14682  14721  14620	 14739	14737  14759  14706











2016-11-21 00:17                                                        Página 1


0      1      2	     3	    4	   5	  6	 7	8      9      10
68334  40017  32719  33408  54133  69548  40259	 62615	68704  40115  32917
22200  14885  13265  13268  18949  22226  14976	 21052	22168  14943  13266
20079  14249  13294  13283  17601  20377  14367	 19200	20159  14293  13287
18595  13786  13289  13267  16701  18921  13846	 18017	18742  13796  13278
7419   5422   5487   5476   6994   7470	  5735	 7451	7738   5428   5571











2016-11-21 00:17                                                        Página 1


0      1      2	     3	    4	   5	  6	 7	8      9      10
55854  48599  27508  25381  47285  31909  61062	 57785	35141  57267  34446
23236  20777  13063  13073  19836  14745  23072	 23259	15530  23556  15515
20929  19391  13262  13281  18550  14495  21146	 21295	15034  21587  14913
18711  17713  12911  12913  16981  13545  19030	 19149	14095  25729  13952
5310   4855   3727   3704   4756   3825	  5228	 5420	3956   5298   4004









